V1,movieId,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating,Cluster
43,44,Mortal Kombat (1995),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.65387491820137,4
44,45,To Die For (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.38436135676704,1
45,46,How to Make an American Quilt (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.27488299531981,3
46,47,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.05349256630211,5
47,48,Pocahontas (1995),0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.94611375134141,10
48,49,When Night Is Falling (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.58474576271186,3
49,50,"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4.33437220780326,5
50,51,Guardian Angel (1994),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.55555555555556,3
51,52,Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.54114806866953,1
52,53,Lamerica (1994),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.69666666666667,3
53,54,"Big Green, The (1995)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85460251046025,10
54,55,Georgia (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.24121405750799,3
55,56,Kids of the Round Table (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.87142857142857,10
56,57,Home for the Holidays (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.32451824518245,3
57,58,"Postman, The (Postino, Il) (1994)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.97839639795653,1
58,59,"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.56020942408377,5
59,60,"Indian in the Cupboard, The (1995)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.11444638048471,10
60,61,Eye for an Eye (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.32310390179746,3
61,62,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.731824983231,3
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06662382176521,1
63,64,Two if by Sea (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.82981783317354,1
64,65,Bio-Dome (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39422286184211,1
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.14424293547027,7
66,67,Two Bits (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.35,3
67,68,French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.43699515347334,1
68,69,Friday (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56063432835821,1
69,70,From Dusk Till Dawn (1996),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.27745437382001,1
70,71,Fair Game (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35521235521236,3
71,72,Kicking and Screaming (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.50243902439024,1
72,73,"Misérables, Les (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.80676818950931,9
73,74,Bed of Roses (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.30221969265794,3
74,75,Big Bully (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.46236559139785,1
75,76,Screamers (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.00902366863905,7
76,77,Nico Icon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.42986425339367,6
77,78,"Crossing Guard, The (1995)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3.18066884176183,3
78,79,"Juror, The (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.12854561878952,3
79,80,"White Balloon, The (Badkonake sefid) (1995)",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.72434782608696,10
80,81,Things to Do in Denver When You're Dead (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3.26737301339981,3
81,82,Antonia's Line (Antonia) (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.00492513790386,1
82,83,Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.65319865319865,3
83,84,Last Summer in the Hamptons (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.41772151898734,1
84,85,Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.53113485630066,3
85,86,White Squall (1996),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.48340297121634,3
86,87,Dunston Checks In (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35963114754098,10
87,88,Black Sheep (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10762746710526,1
88,89,Nick of Time (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.13982137357561,3
89,90,"Journey of August King, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.35747663551402,3
90,92,Mary Reilly (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2.85410334346505,3
91,93,Vampire in Brooklyn (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.52873855544252,1
92,94,Beautiful Girls (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.52692307692308,1
93,95,Broken Arrow (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.09464350343829,3
94,96,In the Bleak Midwinter (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.68737060041408,1
95,97,"Hate (Haine, La) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.99643402954661,3
96,98,Shopping (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.48765432098765,3
97,99,Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.10537190082645,6
98,100,City Hall (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.22138517618469,3
99,101,Bottle Rocket (1996),0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7862959516054,1
100,102,Mr. Wrong (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42946787148594,1
101,103,Unforgettable (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3.26919682259488,5
102,104,Happy Gilmore (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41708065866592,1
103,105,"Bridges of Madison County, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.32629937629938,3
104,106,Nobody Loves Me (Keiner liebt mich) (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.44402985074627,1
105,107,Muppet Treasure Island (1996),0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.21533877038896,10
106,108,Catwalk (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.092,6
107,109,Headless Body in Topless Bar (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.0625,1
108,110,Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.04253380200487,9
109,111,Taxi Driver (1976),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4.11057554838446,3
110,112,Rumble in the Bronx (Hont faan kui) (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41257359125315,1
111,113,Before and After (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.10927456382002,5
112,114,Margaret's Museum (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.61943319838057,3
113,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40789473684211,1
114,116,Anne Frank Remembered (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.93730242360379,6
115,117,"Young Poisoner's Handbook, The (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.58939873417722,3
116,118,If Lucy Fell (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.01100352112676,1
117,119,"Steal Big, Steal Little (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77272727272727,1
118,120,Race the Sun (1996),0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.88095238095238,1
119,121,"Boys of St. Vincent, The (1992)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.75328554360812,3
120,122,Boomerang (1992),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.86766975308642,1
121,123,Chungking Express (Chung Hing sam lam) (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3.96925075790385,5
122,124,"Star Maker, The (Uomo delle stelle, L') (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.49843260188088,3
123,125,Flirting With Disaster (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75568504832291,1
124,126,"NeverEnding Story III, The (1994)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.31213662790698,10
125,127,"Silences of the Palace, The (Saimt el Qusur) (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.25609756097561,3
126,128,Jupiter's Wife (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,6
127,129,Pie in the Sky (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.16315789473684,1
128,130,Angela (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.11538461538462,3
129,131,Frankie Starlight (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.29123711340206,3
130,132,Jade (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.77319830428639,3
131,133,Nueba Yol (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.60526315789474,1
132,134,Sonic Outlaws (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.65277777777778,6
133,135,Down Periscope (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99801744647105,1
134,136,From the Journals of Jean Seberg (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.54901960784314,6
135,137,Man of the Year (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2853982300885,6
136,138,"Neon Bible, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.28467153284672,3
137,139,Target (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.07317073170732,3
138,140,Up Close and Personal (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.29381036861818,3
139,141,"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5122161671208,1
140,142,Shadows (Cienie) (1988),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0609756097561,3
141,143,Gospa (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.14285714285714,3
142,144,"Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47713651498335,1
143,145,Bad Boys (1995),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3.25077244258873,3
144,146,"Amazing Panda Adventure, The (1995)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91206896551724,10
145,147,"Basketball Diaries, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.58292860611948,3
146,148,"Awfully Big Adventure, An (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.88935574229692,3
147,149,Amateur (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3.69431714023831,3
148,150,Apollo 13 (1995),0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.86859786089541,3
149,151,Rob Roy (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3.53903772986684,9
150,152,"Addiction, The (1995)",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.10445468509985,3
151,153,Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89472723400371,1
152,154,Beauty of the Day (Belle de jour) (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.80199335548173,3
153,155,Beyond Rangoon (1995),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.40791536050157,9
154,156,Blue in the Face (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.52796151533373,1
155,157,Canadian Bacon (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.7846687211094,9
156,158,Casper (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.932,10
157,159,Clockers (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3.41694843617921,5
158,160,Congo (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.60474440360842,7
159,161,Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3.74420179448112,9
160,162,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.00992493744787,6
161,163,Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.44539487465959,3
162,164,Devil in a Blue Dress (1995),0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3.46358511837655,2
163,165,Die Hard: With a Vengeance (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.48902474955804,3
164,166,"Doom Generation, The (1995)",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78769230769231,1
165,167,Feast of July (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.16455696202532,3
166,168,First Knight (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.08469877523999,3
167,169,Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.28365098272781,10
168,170,Hackers (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1975873015873,3
169,171,Jeffrey (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.60301331464611,1
170,172,Johnny Mnemonic (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.73260664253109,7
171,173,Judge Dredd (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.53828453278197,7
172,174,Jury Duty (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45597928436912,1
173,175,Kids (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.50760258279525,3
174,176,Living in Oblivion (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8546339399069,1
175,177,Lord of Illusions (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.88591184096802,3
176,178,Love & Human Remains (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.388,1
177,179,Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.75061025223759,3
178,180,Mallrats (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.58726190476191,1
179,181,Mighty Morphin Power Rangers: The Movie (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92900188323917,10
180,182,Moonlight and Valentino (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.09182209469154,3
181,183,Mute Witness (1994),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.36482084690554,1
182,184,Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.10365853658537,3
183,185,"Net, The (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.11042732959623,3
184,186,Nine Months (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.89173052931741,1
185,187,Party Girl (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45121951219512,1
186,188,"Prophecy, The (1995)",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3.34247397918335,4
187,189,Reckless (1995),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0014880952381,4
188,190,Safe (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.56614583333333,3
189,191,"Scarlet Letter, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.67608173076923,3
190,192,"Show, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.02469135802469,6
191,193,Showgirls (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.23405680600214,3
192,194,Smoke (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.84967155128853,1
193,195,Something to Talk About (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.08945095619988,1
194,196,Species (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.85027149985324,7
195,197,"Stars Fell on Henrietta, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.06818181818182,3
196,198,Strange Days (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,3.41709504538992,5
197,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3.78364116094987,8
198,200,"Tie That Binds, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.83628318584071,3
199,201,Three Wishes (1995),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.02739726027397,4
200,202,Total Eclipse (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.98329048843188,3
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14744888561429,1
202,204,Under Siege 2: Dark Territory (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94913017396521,3
203,205,Unstrung Heroes (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.51586715867159,1
204,206,Unzipped (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.47832369942197,6
205,207,"Walk in the Clouds, A (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.37153675655707,3
